Name,Unit,Query,Min/max,Min/max clusters (10x),Bloom filter (10x),Dictionary (10x),Min/max clusters (100x),Bloom filter (100x),Dictionary (100x),Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,176,122071,84471,61013,122071,61013,61013,61013,61013,61013,61013
Partitions scanned,,177,61027,61027,61027,61027,61027,61027,61027,61027,61027,61027
Partitions scanned,,178,122071,84897,61199,122071,61199,61199,61199,61199,61199,61199
Partitions scanned,,179,122071,88349,61360,122071,61360,61360,61360,61360,61360,61360
Partitions scanned,,180,122071,81674,60938,122071,60938,60938,60938,60938,60938,60938
Partitions scanned,,181,122071,90691,61039,122071,61039,61039,61039,61039,61039,61039
Partitions scanned,,182,122071,88986,60959,122071,60959,60959,60959,60959,60959,60959
Partitions scanned,,183,118784,76235,60802,118784,60802,60802,60802,60802,60802,60802
Partitions scanned,,184,122071,85043,60779,122071,60779,60779,60779,60779,60779,60779
Partitions scanned,,185,122071,88646,91902,122071,60668,60668,60668,60668,60668,60668
Partitions scanned,,186,122071,81043,61217,122071,61217,61217,61217,61217,61217,61217
Partitions scanned,,187,122071,78553,60996,122071,60996,60996,60996,60996,60996,60996
Partitions scanned,,188,122070,77333,61094,122070,61094,61094,61094,61094,61094,61094
Partitions scanned,,189,122071,79692,61271,122071,61271,61271,61271,61271,61271,61271
Partitions scanned,,190,121719,91394,60887,121719,60887,60887,60887,60887,60887,60887
Partitions scanned,,191,122071,78012,61155,122071,61155,61155,61155,61155,61155,61155
Partitions scanned,,192,122071,90042,60825,122071,60825,60825,60825,60825,60825,60825
Partitions scanned,,193,122071,86854,60915,122071,60915,60915,60915,60915,60915,60915
Partitions scanned,,194,122071,80442,60810,122071,60810,60810,60810,60810,60810,60810
